"qid","label","n_levels","pre_waveI_n","pre_waveI_mean","post_waveI_n","post_waveI_mean","waveI_delta","pre_pooled_mean","post_pooled_mean","pooled_delta","waveI_delta_pct_of_scale","t_p_value"
"O_GENOCIDE","Agree: Israel is committing genocide against Palestinians",5,66,3.179,58,2.441,-0.738,3.07656547619048,2.39883850931677,-0.677726966873706,-18.4,0.0086
"O_INFORMED","Feel informed about ISPA conflict",6,66,3.368,58,2.915,-0.453,2.53446706586826,2.3173696969697,-0.217097368898566,-9.1,0.0371
"O_RIGHT_EXIST","Agree: Israel doesn't have the right to exist",5,64,4.34,58,4.565,0.225000000000001,4.36080606060606,4.55386419753086,0.193058136924804,5.6,0.1701
"O_CONCERN_ANTISEMITISM","Concern about antisemitism in US",5,64,2.062,57,1.877,-0.185,2.06025454545455,1.88442857142857,-0.175825974025974,-4.6,0.3282
"O_SUPPORT_ISRAEL","US support for Israel should be",3,64,2.4,58,2.322,-0.0779999999999998,2.48232121212121,2.3917,-0.0906212121212118,-3.9,0.53
"O_RACISM_SIMILAR","Agree: Israel's treatment of Palestinians similar to US racism",5,67,2.783,59,2.934,0.151,2.75264880952381,2.80351829268293,0.0508694831591177,3.8,0.7423
"O_APARTHEID","Agree: Israel is an apartheid state",5,64,2.656,59,2.803,0.147,2.56363636363636,2.71241614906832,0.14877978543196,3.7,0.3702
"O_CONCERN_ISLAMOPHOBIA","Concern about Islamophobia in US",5,64,1.766,57,1.825,0.0589999999999999,1.77601212121212,1.90811728395062,0.132105162738496,1.5,0.7484
"O_SUPPORT_PALESTINIANS","US support for Palestinians should be",3,66,1.652,57,1.632,-0.02,1.58569047619048,1.50319496855346,-0.0824955076370173,-1,0.8002
"P_AID_RESTRICT","Support conditioning Israel aid on settlements",5,17,3,0,,,2.61729411764706,2.34114285714286,-0.276151260504202,,
"P_ZION_ATTACHMENT","Zionist per 'attachment to Israel' definition",5,17,3.765,0,,,3.70333050847458,3.6695,-0.0338305084745762,,
"P_ZION_JEWISH_DEM_STATE","Zionist per 'Jewish and democratic state' definition",5,17,2.941,0,,,2.95054621848739,2.94284615384615,-0.00770006464124062,,
"P_ZION_PRIVILEGE","Zionist per 'privileging Jewish rights' definition",5,17,4.353,0,,,4.38147457627119,4.35950980392157,-0.0219647723496177,,
